ICD10_PHEWAS_CODE;ICD9-CM_PHEWAS_CODE;PHEWAS_STRING;EXCLUSION
N741;10;TUBERCULOSIS;010-018.99
H750;10;TUBERCULOSIS;010-018.99
A171;10;TUBERCULOSIS;010-018.99
A163;10;TUBERCULOSIS;010-018.99
A164;10;TUBERCULOSIS;010-018.99
A162;10;TUBERCULOSIS;010-018.99
K930;10;TUBERCULOSIS;010-018.99
N740;10;TUBERCULOSIS;010-018.99
K230;10;TUBERCULOSIS;010-018.99
A182;10;TUBERCULOSIS;010-018.99
A165;10;TUBERCULOSIS;010-018.99
A18;10;TUBERCULOSIS;010-018.99
A19;10;TUBERCULOSIS;010-018.99
A17;10;TUBERCULOSIS;010-018.99
H75;10;TUBERCULOSIS;010-018.99
K23;10;TUBERCULOSIS;010-018.99
K93;10;TUBERCULOSIS;010-018.99
N33;10;TUBERCULOSIS;010-018.99
N74;10;TUBERCULOSIS;010-018.99
A280;27;Other zoonotic bacterial diseases;020-027.99
A260;27;Other zoonotic bacterial diseases;020-027.99
A269;27;Other zoonotic bacterial diseases;020-027.99
A267;27;Other zoonotic bacterial diseases;020-027.99
A282;27;Other zoonotic bacterial diseases;020-027.99
A329;27;Other zoonotic bacterial diseases;020-027.99
A268;27;Other zoonotic bacterial diseases;020-027.99
A328;27;Other zoonotic bacterial diseases;020-027.99
A288;27;Other zoonotic bacterial diseases;020-027.99
A289;27;Other zoonotic bacterial diseases;020-027.99
A320;27;Other zoonotic bacterial diseases;020-027.99
A321;27;Other zoonotic bacterial diseases;020-027.99
A327;27;Other zoonotic bacterial diseases;020-027.99
A32;27;Other zoonotic bacterial diseases;020-027.99
A26;27;Other zoonotic bacterial diseases;020-027.99
A28;27;Other zoonotic bacterial diseases;020-027.99
A220;22;Anthrax;020-027.99
A221;22;Anthrax;020-027.99
A222;22;Anthrax;020-027.99
A227;22;Anthrax;020-027.99
A229;22;Anthrax;020-027.99
A228;22;Anthrax;020-027.99
A22;22;Anthrax;020-027.99
A238;23;Brucellosis;020-027.99
A239;23;Brucellosis;020-027.99
A231;23;Brucellosis;020-027.99
A233;23;Brucellosis;020-027.99
A230;23;Brucellosis;020-027.99
A232;23;Brucellosis;020-027.99
A23;23;Brucellosis;020-027.99
A241;25;Melioidosis;020-027.99
A244;25;Melioidosis;020-027.99
A243;25;Melioidosis;020-027.99
A242;25;Melioidosis;020-027.99
A201;20;Plague;020-027.99
A202;20;Plague;020-027.99
A200;20;Plague;020-027.99
A208;20;Plague;020-027.99
A209;20;Plague;020-027.99
A207;20;Plague;020-027.99
A203;20;Plague;020-027.99
A20;20;Plague;020-027.99
A211;21;Tularemia;020-027.99
A218;21;Tularemia;020-027.99
A212;21;Tularemia;020-027.99
A219;21;Tularemia;020-027.99
A210;21;Tularemia;020-027.99
A213;21;Tularemia;020-027.99
A217;21;Tularemia;020-027.99
A21;21;Tularemia;020-027.99
A240;24;Glanders;020-027.99
A24;24;Glanders;020-027.99
A259;26;Rat-bite fever;020-027.99
A250;26;Rat-bite fever;020-027.99
A251;26;Rat-bite fever;020-027.99
A25;26;Rat-bite fever;020-027.99
B471;39;Actinomycotic infections;030-041.99
L081;39;Actinomycotic infections;030-041.99
A421;39;Actinomycotic infections;030-041.99
A422;39;Actinomycotic infections;030-041.99
A431;39;Actinomycotic infections;030-041.99
A420;39;Actinomycotic infections;030-041.99
A430;39;Actinomycotic infections;030-041.99
A429;39;Actinomycotic infections;030-041.99
A427;39;Actinomycotic infections;030-041.99
B479;39;Actinomycotic infections;030-041.99
A439;39;Actinomycotic infections;030-041.99
A428;39;Actinomycotic infections;030-041.99
A438;39;Actinomycotic infections;030-041.99
A43;39;Actinomycotic infections;030-041.99
A42;39;Actinomycotic infections;030-041.99
J020;34;Streptococcal sore throat and scarlet fever;030-041.99
A38;34;Streptococcal sore throat and scarlet fever;030-041.99
J030;34;Streptococcal sore throat and scarlet fever;030-041.99
J02;34;Streptococcal sore throat and scarlet fever;030-041.99
J03;34;Streptococcal sore throat and scarlet fever;030-041.99
A46;35;Erysipelas;030-041.99
A311;31;Diseases due to other mycobacteria;030-041.99
A319;31;Diseases due to other mycobacteria;030-041.99
A318;31;Diseases due to other mycobacteria;030-041.99
A310;31;Diseases due to other mycobacteria;030-041.99
A31;31;Diseases due to other mycobacteria;030-041.99
A35;37;Tetanus;030-041.99
A378;33;Whooping cough;030-041.99
A379;33;Whooping cough;030-041.99
A371;33;Whooping cough;030-041.99
A370;33;Whooping cough;030-041.99
A37;33;Whooping cough;030-041.99
A390;36;Meningococcal infection;030-041.99
A391;36;Meningococcal infection;030-041.99
A392;36;Meningococcal infection;030-041.99
A393;36;Meningococcal infection;030-041.99
A394;36;Meningococcal infection;030-041.99
A399;36;Meningococcal infection;030-041.99
A398;36;Meningococcal infection;030-041.99
A39;36;Meningococcal infection;030-041.99
M010;36;Meningococcal infection;030-041.99
M030;36;Meningococcal infection;030-041.99
M01;36;Meningococcal infection;030-041.99
M03;36;Meningococcal infection;030-041.99
A395;36;Meningococcal infection;030-041.99
A418;38;Septicemia;030-041.99
A408;38;Septicemia;030-041.99
A410;38;Septicemia;030-041.99
A414;38;Septicemia;030-041.99
A400;38;Septicemia;030-041.99
A401;38;Septicemia;030-041.99
A402;38;Septicemia;030-041.99
A419;38;Septicemia;030-041.99
A409;38;Septicemia;030-041.99
A413;38;Septicemia;030-041.99
A403;38;Septicemia;030-041.99
A411;38;Septicemia;030-041.99
A412;38;Septicemia;030-041.99
A40;38;Septicemia;030-041.99
A41;38;Septicemia;030-041.99
A415;38;Septicemia;030-041.99
A415;38;Septicemia;030-041.99
A415;38;Septicemia;030-041.99
A499;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A492;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A493;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A498;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B957;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B956;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B966;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B967;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B962;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B963;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B961;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B960;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B964;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B965;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B950;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B951;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B952;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B96;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B95;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B968;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B968;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B954;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B954;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B954;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A490;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A491;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B958;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B955;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A49;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
B953;41;Bacterial infection in conditions classified elsewhere and of unspecified site;030-041.99
A488;40;Other bacterial diseases;030-041.99
A480;40;Other bacterial diseases;030-041.99
A483;40;Other bacterial diseases;030-041.99
A484;40;Other bacterial diseases;030-041.99
A48;40;Other bacterial diseases;030-041.99
A361;32;Diphtheria;030-041.99
A362;32;Diphtheria;030-041.99
A363;32;Diphtheria;030-041.99
A369;32;Diphtheria;030-041.99
A368;32;Diphtheria;030-041.99
A360;32;Diphtheria;030-041.99
A36;32;Diphtheria;030-041.99
A305;30;Leprosy;030-041.99
A303;30;Leprosy;030-041.99
A300;30;Leprosy;030-041.99
A301;30;Leprosy;030-041.99
A304;30;Leprosy;030-041.99
A302;30;Leprosy;030-041.99
A309;30;Leprosy;030-041.99
A308;30;Leprosy;030-041.99
A30;30;Leprosy;030-041.99
B238;42;Human immunodeficiency virus [HIV] disease;042-042.99
B24;42;Human immunodeficiency virus [HIV] disease;042-042.99
B230;42;Human immunodeficiency virus [HIV] disease;042-042.99
B20;42;Human immunodeficiency virus [HIV] disease;042-042.99
B21;42;Human immunodeficiency virus [HIV] disease;042-042.99
B22;42;Human immunodeficiency virus [HIV] disease;042-042.99
B23;42;Human immunodeficiency virus [HIV] disease;042-042.99
B206;42;Human immunodeficiency virus [HIV] disease;042-042.99
B204;42;Human immunodeficiency virus [HIV] disease;042-042.99
B202;42;Human immunodeficiency virus [HIV] disease;042-042.99
B221;42;Human immunodeficiency virus [HIV] disease;042-042.99
B207;42;Human immunodeficiency virus [HIV] disease;042-042.99
B217;42;Human immunodeficiency virus [HIV] disease;042-042.99
B200;42;Human immunodeficiency virus [HIV] disease;042-042.99
B201;42;Human immunodeficiency virus [HIV] disease;042-042.99
B218;42;Human immunodeficiency virus [HIV] disease;042-042.99
B205;42;Human immunodeficiency virus [HIV] disease;042-042.99
B203;42;Human immunodeficiency virus [HIV] disease;042-042.99
B219;42;Human immunodeficiency virus [HIV] disease;042-042.99
B222;42;Human immunodeficiency virus [HIV] disease;042-042.99
B231;42;Human immunodeficiency virus [HIV] disease;042-042.99
B211;42;Human immunodeficiency virus [HIV] disease;042-042.99
B210;42;Human immunodeficiency virus [HIV] disease;042-042.99
B220;42;Human immunodeficiency virus [HIV] disease;042-042.99
B232;42;Human immunodeficiency virus [HIV] disease;042-042.99
B227;42;Human immunodeficiency virus [HIV] disease;042-042.99
B208;42;Human immunodeficiency virus [HIV] disease;042-042.99
B213;42;Human immunodeficiency virus [HIV] disease;042-042.99
B212;42;Human immunodeficiency virus [HIV] disease;042-042.99
B209;42;Human immunodeficiency virus [HIV] disease;042-042.99
A870;47;Meningitis due to enterovirus;045-049.99
A878;47;Meningitis due to enterovirus;045-049.99
A879;47;Meningitis due to enterovirus;045-049.99
A87;47;Meningitis due to enterovirus;045-049.99
A872;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A871;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A851;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A850;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A858;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A86;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A888;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A89;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A85;49;Other non-arthropod-borne viral diseases of central nervous system;045-049.99
A812;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A810;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A811;46;Slow virus infections and prion diseases of central nervous system;045-049.99
I673;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A818;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A819;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A81;46;Slow virus infections and prion diseases of central nervous system;045-049.99
A804;45;Acute poliomyelitis;045-049.99
A803;45;Acute poliomyelitis;045-049.99
A800;45;Acute poliomyelitis;045-049.99
A801;45;Acute poliomyelitis;045-049.99
A802;45;Acute poliomyelitis;045-049.99
A809;45;Acute poliomyelitis;045-049.99
A80;45;Acute poliomyelitis;045-049.99
B91;45;Acute poliomyelitis;045-049.99
A880;48;Other enterovirus diseases of central nervous system;045-049.99
A88;48;Other enterovirus diseases of central nervous system;045-049.99
B04;57;Other viral exanthemata;050-059.99
B083;57;Other viral exanthemata;050-059.99
B082;57;Other viral exanthemata;050-059.99
B088;57;Other viral exanthemata;050-059.99
B09;57;Other viral exanthemata;050-059.99
B011;52;Chickenpox;050-059.99
B010;52;Chickenpox;050-059.99
B012;52;Chickenpox;050-059.99
B018;52;Chickenpox;050-059.99
B019;52;Chickenpox;050-059.99
B01;52;Chickenpox;050-059.99
B080;51;Cowpox and paravaccinia;050-059.99
B08;51;Cowpox and paravaccinia;050-059.99
B023;53;Herpes zoster;050-059.99
B027;53;Herpes zoster;050-059.99
H192;53;Herpes zoster;050-059.99
B020;53;Herpes zoster;050-059.99
B028;53;Herpes zoster;050-059.99
H621;53;Herpes zoster;050-059.99
B021;53;Herpes zoster;050-059.99
B022;53;Herpes zoster;050-059.99
B029;53;Herpes zoster;050-059.99
B02;53;Herpes zoster;050-059.99
B03;50;Smallpox;050-059.99
B000;54;Herpes simplex;050-059.99
A601;54;Herpes simplex;050-059.99
B009;54;Herpes simplex;050-059.99
B003;54;Herpes simplex;050-059.99
B001;54;Herpes simplex;050-059.99
A609;54;Herpes simplex;050-059.99
B007;54;Herpes simplex;050-059.99
B004;54;Herpes simplex;050-059.99
B002;54;Herpes simplex;050-059.99
H191;54;Herpes simplex;050-059.99
B008;54;Herpes simplex;050-059.99
B00;54;Herpes simplex;050-059.99
A600;54;Herpes simplex;050-059.99
B005;54;Herpes simplex;050-059.99
A60;54;Herpes simplex;050-059.99
B068;56;Rubella;050-059.99
B069;56;Rubella;050-059.99
M014;56;Rubella;050-059.99
B060;56;Rubella;050-059.99
B06;56;Rubella;050-059.99
B051;55;Measles;050-059.99
B054;55;Measles;050-059.99
B058;55;Measles;050-059.99
B059;55;Measles;050-059.99
B050;55;Measles;050-059.99
B053;55;Measles;050-059.99
B052;55;Measles;050-059.99
B05;55;Measles;050-059.99
A982;65;Arthropod-borne hemorrhagic fever;060-066.99
A984;65;Arthropod-borne hemorrhagic fever;060-066.99
A980;65;Arthropod-borne hemorrhagic fever;060-066.99
A91;65;Arthropod-borne hemorrhagic fever;060-066.99
A981;65;Arthropod-borne hemorrhagic fever;060-066.99
A988;65;Arthropod-borne hemorrhagic fever;060-066.99
A99;65;Arthropod-borne hemorrhagic fever;060-066.99
A920;65;Arthropod-borne hemorrhagic fever;060-066.99
A92;65;Arthropod-borne hemorrhagic fever;060-066.99
A98;65;Arthropod-borne hemorrhagic fever;060-066.99
A90;61;Dengue;060-066.99
A852;64;Viral encephalitis transmitted by other and unspecified arthropods;060-066.99
A950;60;Yellow fever;060-066.99
A951;60;Yellow fever;060-066.99
A959;60;Yellow fever;060-066.99
A95;60;Yellow fever;060-066.99
A922;66;Other arthropod-borne viral diseases;060-066.99
A932;66;Other arthropod-borne viral diseases;060-066.99
A924;66;Other arthropod-borne viral diseases;060-066.99
A931;66;Other arthropod-borne viral diseases;060-066.99
A923;66;Other arthropod-borne viral diseases;060-066.99
A921;66;Other arthropod-borne viral diseases;060-066.99
A930;66;Other arthropod-borne viral diseases;060-066.99
A929;66;Other arthropod-borne viral diseases;060-066.99
A938;66;Other arthropod-borne viral diseases;060-066.99
A928;66;Other arthropod-borne viral diseases;060-066.99
A94;66;Other arthropod-borne viral diseases;060-066.99
B331;66;Other arthropod-borne viral diseases;060-066.99
A93;66;Other arthropod-borne viral diseases;060-066.99
A841;63;Tick-borne viral encephalitis;060-066.99
A848;63;Tick-borne viral encephalitis;060-066.99
A849;63;Tick-borne viral encephalitis;060-066.99
A840;63;Tick-borne viral encephalitis;060-066.99
A84;63;Tick-borne viral encephalitis;060-066.99
A831;62;Mosquito-borne viral encephalitis;060-066.99
A832;62;Mosquito-borne viral encephalitis;060-066.99
A834;62;Mosquito-borne viral encephalitis;060-066.99
A835;62;Mosquito-borne viral encephalitis;060-066.99
A830;62;Mosquito-borne viral encephalitis;060-066.99
A838;62;Mosquito-borne viral encephalitis;060-066.99
A836;62;Mosquito-borne viral encephalitis;060-066.99
A839;62;Mosquito-borne viral encephalitis;060-066.99
A833;62;Mosquito-borne viral encephalitis;060-066.99
A83;62;Mosquito-borne viral encephalitis;060-066.99
B271;75;INFECTIOUS MONONUCLEOSIS;070-079.99
B270;75;INFECTIOUS MONONUCLEOSIS;070-079.99
B279;75;INFECTIOUS MONONUCLEOSIS;070-079.99
B278;75;INFECTIOUS MONONUCLEOSIS;070-079.99
B27;75;INFECTIOUS MONONUCLEOSIS;070-079.99
A719;76;Trachoma;070-079.99
A711;76;Trachoma;070-079.99
A710;76;Trachoma;070-079.99
A71;76;Trachoma;070-079.99
B260;72;Mumps;070-079.99
B261;72;Mumps;070-079.99
B262;72;Mumps;070-079.99
B263;72;Mumps;070-079.99
B268;72;Mumps;070-079.99
B269;72;Mumps;070-079.99
B26;72;Mumps;070-079.99
A820;71;Rabies;070-079.99
A821;71;Rabies;070-079.99
A829;71;Rabies;070-079.99
A82;71;Rabies;070-079.99
A70;73;Ornithosis;070-079.99
B308;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
A740;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B301;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B300;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B309;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B302;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B303;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
A74;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B30;77;Other diseases of conjunctiva due to viruses and Chlamydiae;070-079.99
B085;74;Specific diseases due to Coxsackie virus;070-079.99
B084;74;Specific diseases due to Coxsackie virus;070-079.99
B330;74;Specific diseases due to Coxsackie virus;070-079.99
B33;74;Specific diseases due to Coxsackie virus;070-079.99
B332;74;Specific diseases due to Coxsackie virus;070-079.99
B189;70;Viral hepatitis;070-079.99
B188;70;Viral hepatitis;070-079.99
B178;70;Viral hepatitis;070-079.99
B170;70;Viral hepatitis;070-079.99
B160;70;Viral hepatitis;070-079.99
B161;70;Viral hepatitis;070-079.99
B171;70;Viral hepatitis;070-079.99
B172;70;Viral hepatitis;070-079.99
B180;70;Viral hepatitis;070-079.99
B181;70;Viral hepatitis;070-079.99
B182;70;Viral hepatitis;070-079.99
B150;70;Viral hepatitis;070-079.99
B150;70;Viral hepatitis;070-079.99
B159;70;Viral hepatitis;070-079.99
B190;70;Viral hepatitis;070-079.99
B199;70;Viral hepatitis;070-079.99
B18;70;Viral hepatitis;070-079.99
B15;70;Viral hepatitis;070-079.99
B15;70;Viral hepatitis;070-079.99
B16;70;Viral hepatitis;070-079.99
B17;70;Viral hepatitis;070-079.99
B19;70;Viral hepatitis;070-079.99
B169;70;Viral hepatitis;070-079.99
B162;70;Viral hepatitis;070-079.99
B970;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B340;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
A749;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B972;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B342;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B971;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B341;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B338;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B978;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B348;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B977;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B344;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B976;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B343;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B975;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B974;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B973;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B349;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B97;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B34;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
B333;79;Viral and chlamydial infection in conditions classified elsewhere and of unspecified site;070-079.99
A881;78;Other diseases due to viruses and Chlamydiae;070-079.99
A281;78;Other diseases due to viruses and Chlamydiae;070-079.99
A962;78;Other diseases due to viruses and Chlamydiae;070-079.99
A983;78;Other diseases due to viruses and Chlamydiae;070-079.99
B081;78;Other diseases due to viruses and Chlamydiae;070-079.99
A969;78;Other diseases due to viruses and Chlamydiae;070-079.99
J160;78;Other diseases due to viruses and Chlamydiae;070-079.99
B259;78;Other diseases due to viruses and Chlamydiae;070-079.99
B251;78;Other diseases due to viruses and Chlamydiae;070-079.99
B252;78;Other diseases due to viruses and Chlamydiae;070-079.99
B250;78;Other diseases due to viruses and Chlamydiae;070-079.99
A985;78;Other diseases due to viruses and Chlamydiae;070-079.99
A960;78;Other diseases due to viruses and Chlamydiae;070-079.99
A961;78;Other diseases due to viruses and Chlamydiae;070-079.99
A968;78;Other diseases due to viruses and Chlamydiae;070-079.99
A748;78;Other diseases due to viruses and Chlamydiae;070-079.99
B258;78;Other diseases due to viruses and Chlamydiae;070-079.99
A630;78;Other diseases due to viruses and Chlamydiae;070-079.99
A96;78;Other diseases due to viruses and Chlamydiae;070-079.99
B25;78;Other diseases due to viruses and Chlamydiae;070-079.99
A63;78;Other diseases due to viruses and Chlamydiae;070-079.99
J16;78;Other diseases due to viruses and Chlamydiae;070-079.99
B07;78;Other diseases due to viruses and Chlamydiae;070-079.99
A778;82;Tick-borne rickettsioses;080-088.99
A779;82;Tick-borne rickettsioses;080-088.99
A773;82;Tick-borne rickettsioses;080-088.99
A771;82;Tick-borne rickettsioses;080-088.99
A770;82;Tick-borne rickettsioses;080-088.99
A772;82;Tick-borne rickettsioses;080-088.99
A77;82;Tick-borne rickettsioses;080-088.99
B552;85;Leishmaniasis;080-088.99
B550;85;Leishmaniasis;080-088.99
B551;85;Leishmaniasis;080-088.99
B559;85;Leishmaniasis;080-088.99
B55;85;Leishmaniasis;080-088.99
A759;81;Other typhus;080-088.99
A751;81;Other typhus;080-088.99
A753;81;Other typhus;080-088.99
A752;81;Other typhus;080-088.99
A750;80;Louse-borne [epidemic] typhus;080-088.99
A75;80;Louse-borne [epidemic] typhus;080-088.99
B570;86;Trypanosomiasis;080-088.99
