PHEWAS_CODE;ICD10_CODE;EXCLUSION;STR
A98;A984;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A985;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A98;A981;A90-A99;Other viral haemorrhagic fevers, not elsewhere classified
A99;A99;A90-A99;Unspecified viral haemorrhagic fever
B00;B000;B00-B09;Herpesviral [herpes simplex] infections
B00;B00;B00-B09;Herpesviral [herpes simplex] infections
B00;B005;B00-B09;Herpesviral [herpes simplex] infections
B00;B001;B00-B09;Herpesviral [herpes simplex] infections
B00;B007;B00-B09;Herpesviral [herpes simplex] infections
B00;B009;B00-B09;Herpesviral [herpes simplex] infections
B00;B003;B00-B09;Herpesviral [herpes simplex] infections
B00;B004;B00-B09;Herpesviral [herpes simplex] infections
B00;B008;B00-B09;Herpesviral [herpes simplex] infections
B00;B002;B00-B09;Herpesviral [herpes simplex] infections
B01;B018;B00-B09;Varicella [chickenpox]
B01;B010;B00-B09;Varicella [chickenpox]
B01;B019;B00-B09;Varicella [chickenpox]
B01;B011;B00-B09;Varicella [chickenpox]
B01;B012;B00-B09;Varicella [chickenpox]
B01;B01;B00-B09;Varicella [chickenpox]
B02;B027;B00-B09;Zoster [herpes zoster]
B02;B028;B00-B09;Zoster [herpes zoster]
B02;B022;B00-B09;Zoster [herpes zoster]
B02;B020;B00-B09;Zoster [herpes zoster]
B02;B029;B00-B09;Zoster [herpes zoster]
B02;B023;B00-B09;Zoster [herpes zoster]
B02;B021;B00-B09;Zoster [herpes zoster]
B02;B02;B00-B09;Zoster [herpes zoster]
B03;B03;B00-B09;Smallpox
B04;B04;B00-B09;Monkeypox
B05;B050;B00-B09;Measles
B05;B054;B00-B09;Measles
B05;B051;B00-B09;Measles
B05;B052;B00-B09;Measles
B05;B058;B00-B09;Measles
B05;B05;B00-B09;Measles
B05;B059;B00-B09;Measles
B05;B053;B00-B09;Measles
B06;B060;B00-B09;Rubella [German measles]
B06;B06;B00-B09;Rubella [German measles]
B06;B069;B00-B09;Rubella [German measles]
B06;B068;B00-B09;Rubella [German measles]
B07;B07;B00-B09;Viral warts
B08;B084;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B082;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B081;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B083;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B080;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B085;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B088;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B08;B08;B00-B09;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B09;B09;B00-B09;Unspecified viral infection characterized by skin and mucous membrane lesions
B15;B159;B15-B19;Acute hepatitis A
B15;B150;B15-B19;Acute hepatitis A
B15;B15;B15-B19;Acute hepatitis A
B16;B160;B15-B19;Acute hepatitis B
B16;B169;B15-B19;Acute hepatitis B
B16;B161;B15-B19;Acute hepatitis B
B16;B162;B15-B19;Acute hepatitis B
B16;B16;B15-B19;Acute hepatitis B
B17;B172;B15-B19;Other acute viral hepatitis
B17;B179;B15-B19;Other acute viral hepatitis
B17;B178;B15-B19;Other acute viral hepatitis
B17;B171;B15-B19;Other acute viral hepatitis
B17;B17;B15-B19;Other acute viral hepatitis
B17;B170;B15-B19;Other acute viral hepatitis
B18;B189;B15-B19;Chronic viral hepatitis
B18;B181;B15-B19;Chronic viral hepatitis
B18;B180;B15-B19;Chronic viral hepatitis
B18;B188;B15-B19;Chronic viral hepatitis
B18;B182;B15-B19;Chronic viral hepatitis
B18;B18;B15-B19;Chronic viral hepatitis
B19;B190;B15-B19;Unspecified viral hepatitis
B19;B199;B15-B19;Unspecified viral hepatitis
B19;B19;B15-B19;Unspecified viral hepatitis
B20;B202;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B204;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B208;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B207;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B205;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B209;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B206;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B200;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B201;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B203;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B20;B20;B20-B24;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21;B210;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B21;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B213;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B217;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B212;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B218;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B211;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B21;B219;B20-B24;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22;B221;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B22;B222;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B22;B22;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B22;B227;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B22;B220;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23;B230;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other conditions
B23;B232;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other conditions
B23;B23;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other conditions
B23;B238;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other conditions
B23;B231;B20-B24;Human immunodeficiency virus [HIV] disease resulting in other conditions
